Name,Size,Type,CR,URL,Font,Author,AC,HP,Speeds,Align.,STR,DEX,CON,INT,WIS,CHA,Sav. Throws,Skills,WRI,Senses,Languages,Additional,average_damage,attack_modifier,has_legendary_action,legendary_action_damage,has_flight,resistance_count,immunity_count,weakness_count,save_dc,is_spellcaster,regeneration_per_round,multiattack_count,ability_count,ability_cr_weight,recharge_damage,limited_use_damage,bonus_action_damage
Tabaxi Hunter,Medium,Humanoid (Tabaxi),1.00,,Tomb of Annihilation,Wizards of the Coast,14,40,"30, climb 20",CG,10,17,11,13,14,15,None,"Athletics, Perception, Stealth, Survival",None,Darkvision 60,"Common, Any",Feline Agility,,,,,,,,,,,,,,,,,
Thorny,Medium,Plant,1.00,,Volo's Guide to Monsters,Wizards of the Coast,14,27,30,N,13,12,13,2,10,6,None,"Perception, Stealth","Lightningres, piercingres",Darkvision 60,Own,"Plant Camouflage, Regeneration",,,,,,,,,,,,,,,,,
Thri-Kreen,Medium,Humanoid,1.00,,Monster Manual,Wizards of the Coast,15,33,40,CN,12,15,13,8,12,7,None,"Perception, Stealth, Survival",None,Darkvision 60,Own,"Chameleon Carapace, Standing Leap",,,,,,,,,,,,,,,,,
Tiny Servant,Tiny,Construct,1.00,,Xanathar's Guide to Everything,Wizards of the Coast,15,10,"30, climb 30",U,4,16,10,2,10,1,None,None,"Poisonimmu, psychicimmu, blindedimmu, charmedimmu, deafenedimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, petrifiedimmu, poisonedimmu",Blindsight 60,None,None,,,,,,,,,,,,,,,,,
Vargouille,Tiny,Fiend,1.00,,Volo's Guide to Monsters,Wizards of the Coast,12,13,"5, fly 40",CE,6,14,14,4,7,2,None,None,"Coldres, fireres, lightningres, poisonimmu, poisonedimmu",Darkvision 60,"Abyssal, Infernal, Any",None,,,,,,,,,,,,,,,,,
Xvart Warlock of Raxivort,Small,Humanoid (Xvart),1.00,,Volo's Guide to Monsters,Wizards of the Coast,12,22,30,CE,8,14,12,8,11,12,None,Stealth,None,Darkvision 30,Abyssal,"Innate Spellcasting, Normal Spellcasting, Low Cunning, Raxivort's Blessing, Raxivort's Tongue",,,,,,,,,,,,,,,,,
Yuan-Ti Pureblood,Medium,Monstrosity,1.00,,Monster Manual,Wizards of the Coast,11,40,30,NE,11,12,11,13,12,14,None,"Deception, Perception, Stealth","Poisonimmu, poisonedimmu",Darkvision 60,"Abyssal, Common, Draconic","Innate Spellcasting, Magic Resistance",,,,,,,,,,,,,,,,,
"Zombie, Strahd",Medium,Undead,1.00,,Curse of Strahd,Wizards of the Coast,8,30,20,U,13,6,16,3,6,5,WIS,None,None,Darkvision 60,Any,Loathsome Limbs,,,,,,,,,,,,,,,,,
"Animated Object, Rug of Smothering",Large,Construct,2.00,,Monster Manual,Wizards of the Coast,12,33,10,U,17,14,10,1,3,1,None,None,"Poisonimmu, psychicimmu, blindedimmu, charmedimmu, deafenedimmu, frightenedimmu, paralyzedimmu, petrifiedimmu, poisonimmu",Blindsight 60,None,"Antimagic, Damage Transfer, False",,,,,,,,,,,,,,,,,
"Animated Object, Table",Large,Construct,2.00,,Tales from the Yawning Portal,Wizards of the Coast,15,39,40,U,18,8,13,1,3,1,None,None,"Poisonimmu, psychicimmu, blindedimmu, charmedimmu, deafenedimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, petrifiedimmu, poisonedimmu",Blindsight 60,None,"Antimagic Susceptibility, False Appearance, Charge",,,,,,,,,,,,,,,,,
Ankheg,Large,Monstrosity,2.00,,Monster Manual,Wizards of the Coast,14,39,"30, 10 burrow",U,17,11,13,1,13,6,None,None,None,"Darkvision 60, tremorsense 60",None,None,,,,,,,,,,,,,,,,,
"Assorted Beast, Aurochs",Large,Beast,2.00,,Volo's Guide to Monsters,Wizards of the Coast,11,38,50,U,20,10,19,2,12,5,None,None,None,Normal,None,Charge,,,,,,,,,,,,,,,,,
Awakened Zurkhwood,Huge,Plant,2.00,,Out of the Abyss,Wizards of the Coast,13,59,20,U,19,6,15,10,10,7,None,None,"Fireweak, bludgeoningres, piercingres",Normal,Any,False Appearance,,,,,,,,,,,,,,,,,
Azer,Medium,Elemental,2.00,,Monster Manual,Wizards of the Coast,17,39,30,LN,17,12,15,12,13,10,CON,None,"Fireimmu, poisonimmu, poisonimmu",Normal,Ignan,"Heated Body, Heated Weapons, Illumination",,,,,,,,,,,,,,,,,
Berbalang,Medium,Aberration,2.00,,Mordenkainen's Tome of Foes,Wizards of the Coast,14,38,"30, fly 40",NE,9,16,9,17,11,10,None,"Arcana, History, Insight, Perception, Religion",None,Truesight 120,All,"Spectral Duplicate, Innate Spellcasting",,,,,,,,,,,,,,,,,
Black Earth Guard,Medium,Humanoid (Human),2.00,,Princes of the Apocalypse,Wizards of the Coast,18,39,30,NE,17,11,14,10,10,9,None,"Intimidation, Perception",None,Normal,Common,None,,,,,,,,,,,,,,,,,
Carrion Crawler,Large,Monstrosity,2.00,,Monster Manual,Wizards of the Coast,13,51,"30, 30 climb",U,14,13,16,1,12,5,None,Perception,None,Darkvision 60,None,"Keen Smell, Spider Climb",,,,,,,,,,,,,,,,,
Centaur,Large,Monstrosity,2.00,,Monster Manual,Wizards of the Coast,12,45,50,NG,18,14,14,9,13,11,None,"Athletics, Perception, Survival",None,Normal,"Elvish, Sylvan",Charge,,,,,,,,,,,,,,,,,
Crushing Wave Priest,Medium,Humanoid (Human),2.00,,Princes of the Apocalypse,Wizards of the Coast,13,52,30,NE,15,11,14,10,11,16,None,"Deception, Religion, Stealth",None,Normal,"Aquan, COmmon",Normal Spellcasting,,,,,,,,,,,,,,,,,
"Crushing Wave, Fathomer",Medium,Humanoid (Human),2.00,,Princes of the Apocalypse,Wizards of the Coast,10,52,30,NE,14,11,14,11,11,15,None,"Arcana, Perception, Stealth",None,Normal,"Aquan, Common","Shapechanger, Olhydra's Armor, Normal Spellcasting",,,,,,,,,,,,,,,,,
Darkling Elder,Medium,Fey,2.00,,Volo's Guide to Monsters,Wizards of the Coast,15,27,30,CN,13,17,12,10,14,13,None,"Acrobatics, Deception, Perception, Stealth",None,"Blindsight 30, darkvision 120","Elvish, Sylvan",Death Burn,,,,,,,,,,,,,,,,,
"Demon, Rutterkin",Medium,Fiend (Demon),2.00,,Mordenkainen's Tome of Foes,Wizards of the Coast,12,37,20,CE,14,15,17,5,12,6,None,None,"COldres, fireres, lightningres, poisonimmu, charmedimmu, frightenedimmu, poisonedimmu",Darkvision 120,Abyssal,Crippling Fear,,,,,,,,,,,,,,,,,
"Devil, Spined",Small,Fiend (Devil),2.00,,Monster Manual,Wizards of the Coast,15,22,"20, 40 fly",LE,10,15,12,11,14,8,None,None,"Coldres, nonmagicalres, nonsilveredres, fireimmu, poisonimmu, poisonedimmu",Darkvision 120,"Infernal, telepathy 120","Devil's Sight, Flyby, Limited Spines, Magic Resistance",,,,,,,,,,,,,,,,,
"Dinosaur, Allosaurus",Large,Beast,2.00,,Monster Manual,Wizards of the Coast,13,51,60,U,19,13,17,2,12,5,None,Perception,None,Normal,None,Pounce,,,,,,,,,,,,,,,,,
"Dinosaur, Plesiosaurus",Large,Beast,2.00,,Monster Manual,Wizards of the Coast,13,68,"20, swim 40",U,18,15,16,2,12,5,None,"Perception, Stealth",None,Normal,None,Hold Breath,,,,,,,,,,,,,,,,,
"Dinosaur, Quetzalcoatlus",Huge,Beast,2.00,,Volo's Guide to Monsters,Wizards of the Coast,13,30,"10, fly 80",U,15,13,13,2,10,5,None,Perception,None,Normal,None,"Dive Attack, FLyby",,,,,,,,,,,,,,,,,
"Dragon, Chromatic, Black, Wyrmling",Medium,Dragon,2.00,,Monster Manual,Wizards of the Coast,17,33,"30, fly 60, 30 swim",CE,15,14,13,10,11,13,"DEX, CON, WIS, CHA","Perception, Stealth",Acidimmu,"Blindsight 30, darkvision 120","Common, Draconic",Amphibious,,,,,,,,,,,,,,,,,
"Dragon, Chromatic, Green, Wyrmling",Medium,Dragon,2.00,,Monster Manual,Wizards of the Coast,17,38,"30, fly 60, swim 30",LE,15,12,13,14,11,13,"DEX, CON, WIS, CHA","Perception, Stealth","Poisonimmu, poisonedimmu","Blindsight 30, darkvision 120",Draconic,Amphibious,,,,,,,,,,,,,,,,,
"Dragon, Chromatic, White, Wyrmling",Medium,Dragon,2.00,,Monster Manual,Wizards of the Coast,16,32,"30, burrow 15, fly 60, swim 30",CE,14,10,14,5,10,11,"DEX, CON, WIS, CHA","Perception, Stealth",Coldimmu,"Blindsight 10, darkvision 60",Draconic,Ice Walk,,,,,,,,,,,,,,,,,
"Dragon, Metallic, Bronze, Wyrmling",Medium,Dragon,2.00,,Monster Manual,Wizards of the Coast,17,32,"30, fly 60, swim 30",LG,17,10,15,12,11,15,"DEX, CON, WIS, CHA","Perception, Stealth",Lightningimmu,"Blindsight 10, darkvision 60",Draconic,Amphibious,,,,,,,,,,,,,,,,,
"Dragon, Metallic, Silver, Wyrmling",Medium,Dragon,2.00,,Monster Manual,Wizards of the Coast,17,45,"30, fly 60",LG,19,10,17,12,11,15,"DEX, CON, WIS, CHA","Perception, Stealth",Coldimmu,"Blindsight 10, darkvision 60",Draconic,None,,,,,,,,,,,,,,,,,
Dragonwing,Medium,Humanoid (Human),2.00,,Hoard of the Dragon Queen,Wizards of the Coast,14,32,30,NE,9,16,13,11,10,12,WIS,"Deception, Stealth",None,Normal,"Common, Draconic","Dragon Fanatic, Fanatical Advantage, Pack Tactics",,,,,,,,,,,,,,,,,
Duergar Darkhaft,Medium,Humanoid (Dwarf),2.00,,Out of the Abyss,Wizards of the Coast,16,26,25,LE,14,11,14,11,10,9,None,None,Poisonres,Darkvision 120,"Dwarvish, Undercommon","Duergar Resilience, Sunlight Sensitivity, Normal Spellcasting (Psionics)",,,,,,,,,,,,,,,,,
Duergar Hammerer,Medium,Humanoid (Dwarf),2.00,,Mordenkainen's Tome of Foes,Wizards of the Coast,17,33,20,LE,17,7,12,5,5,5,None,None,"Poisonimmu, charmedimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, petrifiedimmu, poisonedimmu",Darkvision 60,Dwarvish,"Engine of Pain, Siege Monster",,,,,,,,,,,,,,,,,
Duergar Kavalrachni,Medium,Humanoid (Dwarf),2.00,,Mordenkainen's Tome of Foes,Wizards of the Coast,16,26,25,LE,14,11,14,11,10,9,None,None,Poisonres,Darkvision 120,"Dwarvish, Undercommon","Cavalry Training, Duergar Resilience, Sunlight Sensitivity",,,,,,,,,,,,,,,,,
Duergar Keeper of the Flame,Medium,Humanoid (Dwarf),2.00,,Out of the Abyss,Wizards of the Coast,16,26,25,LE,14,11,14,11,10,9,None,None,Poisonres,Darkvision 120,"Dwarvish, Undercommon","Duergar Resilience, Innate Spellcasting (Psionics), Normal Spellcasting",,,,,,,,,,,,,,,,,
Duergar Mind Master,Medium,Humanoid (Dwarf),2.00,,Mordenkainen's Tome of Foes,Wizards of the Coast,14,39,25,LE,11,17,14,15,10,12,WIS,"Perception, Stealth",Poisonres,"Darkvision 120, truesight 30","Dwarvish, Undercommon","Duergar Resilience, Sunlight Sensitivity",,,,,,,,,,,,,,,,,
Duergar Spy,Medium,Humanoid (Dwarf),2.00,,Tales from the Yawning Portal,Wizards of the Coast,15,33,25,LE,10,16,12,12,10,13,None,"Deception, Insight, Investigation, Perception, Persuasion, Sleight of Hand, Stealth",Poisonres,Darkvision 120,"Dwarvish, Undercommon","Cunning Action, Duergar Resilience, Sneak Attack, Sunlight Sensitivity",,,,,,,,,,,,,,,,,
Duergar Stone Guard,Medium,Humanoid (Dwarf),2.00,,Mordenkainen's Tome of Foes,Wizards of the Coast,18,39,25,LE,18,11,14,11,10,9,None,None,Poisonres,Darkvision 120,"Dwarvish, Undercommon","Duergar Resilience, Phalanx Formation, Sunlight Sensitivity",,,,,,,,,,,,,,,,,
Duergar Xarrorn,Medium,Humanoid (Dwarf),2.00,,Mordenkainen's Tome of Foes,Wizards of the Coast,18,26,25,LE,16,11,14,11,10,9,None,None,Poisonres,Darkvision 120,"Dwarvish, Undercommon","Duergar Resilience, Sunlight Sensitivity",,,,,,,,,,,,,,,,,
Eternal Flame Guardian,Medium,Humanoid (Human),2.00,,Princes of the Apocalypse,Wizards of the Coast,17,45,30,CE,15,13,14,8,11,13,None,"Intimidation, Perception",Fireres,Normal,Common,Flaming Weapon,,,,,,,,,,,,,,,,,
Ettercap,Medium,Monstrosity,2.00,,Monster Manual,Wizards of the Coast,13,44,"30, climb 30",NE,14,15,13,7,12,8,None,"Perception, Stealth, Survival",None,Darkvision 60,None,"Spider Climb, Web Sense, Web Walker",,,,,,,,,,,,,,,,,
F,Medium,Humanoid,2.00,,Monster Manual,Wizards of the Coast,16,45,30,CE,16,12,16,9,13,12,None,"Intimidation, Religion",None,Darkvision 60,"Common, Orc","Aggressive, Gruumsh's Fury, Normal Spellcasting",,,,,,,,,,,,,,,,,
Gargoyle,Medium,Elemental,2.00,,Monster Manual,Wizards of the Coast,15,52,"30, fly 60",CE,15,11,16,6,11,7,None,None,"Nonadamantineres, poisonimmu, exhaustionimmu, petrifiedimmu, poisonedimmu",Darkvision 60,Terran,False Appearance,,,,,,,,,,,,,,,,,
"Ghoul, Ghast",Medium,Undead,2.00,,Monster Manual,Wizards of the Coast,13,36,30,CE,16,17,10,11,10,8,None,None,"Necroticres, poisonimmu, charmedimmu, exhaustionimmu, poisonedimmu",Darkvision 60,Common,"Stench, Turning Defiance",,,,,,,,,,,,,,,,,
Giant Crayfish,Large,Beast,2.00,,Tales from the Yawning Portal,Wizards of the Coast,15,45,"30, swim 30",U,15,13,13,1,9,3,None,Stealth,None,Blindsight 30,None,Amphibious,,,,,,,,,,,,,,,,,
Gibbering Mouther,Medium,Aberration,2.00,,Monster Manual,Wizards of the Coast,9,67,"10, swim 10",N,10,8,16,3,10,6,None,None,Proneimmu,Darkvision 60,None,"Aberrant Ground, Gibbering",,,,,,,,,,,,,,,,,
Githzerai Monk,Medium,Humanoid,2.00,,Monster Manual,Wizards of the Coast,14,38,30,LN,12,15,12,13,14,10,"STR, DEX, INT, WIS","Insight, Perception",None,Normal,Own,"Innate Spellcasting (Psionics), Psychic Defense",,,,,,,,,,,,,,,,,
Gnoll Pack Lord,Medium,Humanoid,2.00,,Monster Manual,Wizards of the Coast,15,49,30,CE,16,14,13,8,11,9,None,None,None,Darkvision 60,Gnoll,Rampage,,,,,,,,,,,,,,,,,
Grick,Medium,Monstrosity,2.00,,Monster Manual,Wizards of the Coast,14,27,"30, climb 30",N,14,14,11,3,14,5,None,None,Nonmagicalres,Darkvision 60,None,Stone Camouflage,,,,,,,,,,,,,,,,,
Griffon,Large,Monstrosity,2.00,,Monster Manual,Wizards of the Coast,12,59,"30, fly 80",U,18,15,16,2,13,8,None,Perception,None,Darkvision 60,None,Keen Sight,,,,,,,,,,,,,,,,,
Grung Elite Warrior,Small,Humanoid (Grung),2.00,,Volo's Guide to Monsters,Wizards of the Coast,13,49,"25, climb 25",LE,7,16,15,10,11,12,DEX,"Athletics, Perception, Stealth, Survival","Poisonimmu, poisonedimmu",Normal,Own,"Amphibious, Poisonous Skin, Standing Leap",,,,,,,,,,,,,,,,,
Guard Drake,Medium,Dragon,2.00,,Volo's Guide to Monsters,Wizards of the Coast,14,52,30,U,16,11,16,4,10,7,None,Perception,None,Darkvision 60,"Draconic, Ignan",None,,,,,,,,,,,,,,,,,
"Hag, Sea",Medium,Fey,2.00,,Monster Manual,Wizards of the Coast,14,52,"30, swim 40",CE,16,13,16,12,12,13,None,None,None,Darkvision 60,"Aquan, Common, Giant","Amphibious, Horrific Appearance",,,,,,,,,,,,,,,,,
Hobgoblin Iron Shadow,Medium,Humanoid (Goblinoid),2.00,,Volo's Guide to Monsters,Wizards of the Coast,15,32,40,LE,14,16,15,14,15,11,None,"Acrobatics, Athletics, Stealth",None,Darkvision 60,"Common, Goblin","Normal Spellcasting, Unarmored Defense",,,,,,,,,,,,,,,,,
Howling Hatred Priest,Medium,Humanoid (Human),2.00,,Princes of the Apocalypse,Wizards of the Coast,15,45,30,NE,12,16,10,14,10,14,None,"Acrobatics, Intimidation, Religion",None,Normal,"Auran, Common","Hold Breath, Normal Spellcasting",,,,,,,,,,,,,,,,,
"Howling Hatred, Hurricane",Medium,Humanoid (Human),2.00,,Princes of the Apocalypse,Wizards of the Coast,14,33,45,LE,12,16,13,10,12,10,None,Acrobatics,None,Normal,"Auran, Common","Normal Spellcasting, Unarmored Defense, Unarmored Movement",,,,,,,,,,,,,,,,,
Intellect Devourer,Tiny,Aberration,2.00,,Monster Manual,Wizards of the Coast,12,21,40,LE,6,14,13,12,11,10,None,"Perception, Stealth","Nonmagicalres, blindedimmu",Blindsight 60,"Deep Speech, telepathy 60",Detect Sentience,,,,,,,,,,,,,,,,,
"Ixitxachitl, Vampiric",Medium,Aberration,2.00,,Out of the Abyss,Wizards of the Coast,16,44,swim 30,CE,14,18,13,12,13,7,None,None,None,Darkvision 60,"Abyssal, Own",Regeneration,,,,,,,,,,,,,,,,,
"Kruthik, Adult",Medium,Monstrosity,2.00,,Mordenkainen's Tome of Foes,Wizards of the Coast,18,39,"40, burrow 20, climb 40",U,15,16,15,7,12,8,None,None,None,"Darkvision 60, tremorsense 60",Own,"Keen Smell, Pack Tactics, Tunneler",,,,,,,,,,,,,,,,,
Lizardfolk Shaman,Medium,Humanoid,2.00,,Monster Manual,Wizards of the Coast,13,27,"30, swim 30",N,15,10,13,10,15,8,None,"Perception, Stealth, Survival",None,Normal,Draconic,"Hold Breath, Normal Spellcasting",,,,,,,,,,,,,,,,,
"Lycanthrope, Wererat",Medium,Humanoid,2.00,,Monster Manual,Wizards of the Coast,12,33,30,LE,10,15,12,11,10,8,None,"Perception, Stealth","Nonmagicalimmu, nonsilveredimmu",Darkvision 60,Common,"Shapechanger, Keen Smell",,,,,,,,,,,,,,,,,
"Lycanthrope, Wereraven",Medium,"Humanoid (Human)
Humanoid (Shapechanger)",2.00,,Curse of Strahd,Wizards of the Coast,12,31,30,LG,10,15,11,13,15,14,None,"Insight, Perception","Nonmagicalimmu, nonsilveredimmu",Normal,Common,"Shapechanger, Mimicry",,,,,,,,,,,,,,,,,
Meenlock,Small,Fey,2.00,,Volo's Guide to Monsters,Wizards of the Coast,15,31,30,NE,7,15,12,11,10,8,None,"Perception, Stealth, Survival",Frightenedimmu,Darkvision 120,Telepathy 120,"Fear Aura, Light Sensitivity, Shadow Teleport",,,,,,,,,,,,,,,,,
Merrow,Large,Monstrosity,2.00,,Monster Manual,Wizards of the Coast,13,45,"10, swim 40",CE,18,10,15,8,10,9,None,"Death Burst, Innate Spellcasting",None,Darkvision 60,"Abyssal, Aquan",Amphibious,,,,,,,,,,,,,,,,,
Mimic,Medium,Monstrosity,2.00,,Monster Manual,Wizards of the Coast,12,58,15,N,17,12,15,5,13,8,None,Stealth,"Acidimmu, proneimmu",Darkvision 60,None,"Shapechanger, Adhesive, False Appearance, Grappler",,,,,,,,,,,,,,,,,
"Misc. Creature, Awakened Tree",Huge,Plant,2.00,,Monster Manual,Wizards of the Coast,13,59,20,U,19,6,15,10,10,7,None,None,"Fireweak, bludgeoningres, piercingres",Normal,Creator,False Appearance,,,,,,,,,,,,,,,,,
"Misc. Creature, Giant Boar",Large,Beast,2.00,,Monster Manual,Wizards of the Coast,12,42,40,U,17,10,16,2,7,5,None,None,None,Normal,None,"Charge, Relentless",,,,,,,,,,,,,,,,,
"Misc. Creature, Giant Constrictor Snake",Huge,Beast,2.00,,Monster Manual,Wizards of the Coast,12,60,"30, swim 30",U,19,14,12,1,10,3,None,Perception,None,Blindsight 10,None,None,,,,,,,,,,,,,,,,,
"Misc. Creature, Giant Elk",Huge,Beast,2.00,,Monster Manual,Wizards of the Coast,14,42,60,U,19,16,14,7,14,10,None,Perception,None,Normal,"Own, Common, Elvish, Sylvan",Charge,,,,,,,,,,,,,,,,,
"Misc. Creature, Hunter Shark",Large,Beast,2.00,,Monster Manual,Wizards of the Coast,12,45,swim 40,U,18,13,15,1,10,4,None,Perception,None,Blindsight 30,None,"Blood Frenzy, Water Breathing",,,,,,,,,,,,,,,,,
"Misc. Creature, Polar Bear",Large,Beast,2.00,https://roll20.net/compendium/dnd5e/Polar%20Bear#content,Monster Manual,Wizards of the Coast,12,42,"40, swim 30",U,20,10,16,2,13,7,None,Perception,None,Normal,None,Keen Smell,,,,,,,,,,,,,,,,,
"Misc. Creature, Rhinoceros",Large,Beast,2.00,,Monster Manual,Wizards of the Coast,11,45,40,U,21,8,15,2,12,6,None,None,None,Normal,None,Charge,,,,,,,,,,,,,,,,,
"Misc. Creature, Saber-Toothed Tiger",Large,Beast,2.00,,Monster Manual,Wizards of the Coast,12,52,40,U,18,14,15,3,12,8,None,"Perception, Stealth",None,Normal,None,"Keen Smell, Pounce",,,,,,,,,,,,,,,,,
"Misc. Creature, Swarm of Poisonous Snakes",Medium,Beast,2.00,,Monster Manual,Wizards of the Coast,14,36,"30, swim 30",U,8,18,11,1,10,3,None,None,"Bludgeoningres, piercingres, slashingres, charmedimmu, frightenedimmu, paralyzedimmu, petrifiedimmu, proneimmu, restrainedimmu, stunnedimmu",Blindsight 10,None,Swarm,,,,,,,,,,,,,,,,,
"Modron, Pentadrone",Large,Construct,2.00,,Monster Manual,Wizards of the Coast,16,32,40,LN,15,14,12,10,10,13,None,Perception,None,Truesight 120,Modron,"Axiomatic Mind, Disintegration",,,,,,,,,,,,,,,,,
Myconid Sovereign,Large,Plant,2.00,,Monster Manual,Wizards of the Coast,13,60,30,LN,12,10,14,13,15,10,None,None,None,Darkvision 120,None,"Distress Spores, Sun Sickness",,,,,,,,,,,,,,,,,
Nereid,Medium,Fey,2.00,,Tales from the Yawning Portal,Wizards of the Coast,13,44,"30, swim 60",ANY CHAOTIC,10,17,12,13,14,16,None,"Acrobatics, Nature, Stealth, Survival",None,Darkvision 60,"Aquan, Common, Elvish, Sylvan","Amphibious, Aquatic Invisibility, Mantle Dependent, Shape Water, Speak with Animals",,,,,,,,,,,,,,,,,
Nothic,Medium,Aberration,2.00,,Monster Manual,Wizards of the Coast,15,45,30,NE,14,16,16,13,10,8,None,"Arcana, Insight, Perception, Stealth",None,Truesight 120,Undercommon,Keen Sight,,,,,,,,,,,,,,,,,
"NPC, Bandit Captain",Medium,Humanoid,2.00,https://roll20.net/compendium/dnd5e/Bandit%20Captain#content,Monster Manual,Wizards of the Coast,15,65,30,NOT LAWFUL,15,16,14,14,11,14,"STR, DEX, WIS","Athletics, Deception",None,Normal,Any,None,,,,,,,,,,,,,,,,,
"NPC, Bard",Medium,Humanoid (Any Race),2.00,,Volo's Guide to Monsters,Wizards of the Coast,15,44,30,ANY,11,14,12,10,13,14,"DEX, WIS","Acrobatics, Perception, Performance",None,Normal,Any,"Normal SPellcasting, Song of Rest, Taunt",,,,,,,,,,,,,,,,,
"NPC, Berserker",Medium,Humanoid,2.00,,Monster Manual,Wizards of the Coast,13,67,30,ANY CHAOTIC,16,12,17,9,11,9,None,None,None,Normal,Any,Reckless,,,,,,,,,,,,,,,,,
"NPC, Cult Fanatic",Medium,Humanoid,2.00,,Monster Manual,Wizards of the Coast,13,33,30,NOT GOOD,11,14,12,10,13,14,None,"Deception, Persuasion, Religion",None,Normal,Any,"Dark Devotion, Normal Spellcasting",,,,,,,,,,,,,,,,,
"NPC, Druid",Medium,Humanoid,2.00,,Monster Manual,Wizards of the Coast,11,27,30,ANY,10,12,13,12,15,11,None,"Medicine, Nature, Perception",None,Normal,"Druidic, Any",Normal Spellcasting,,,,,,,,,,,,,,,,,
"NPC, Priest",Medium,Humanoid,2.00,,Monster Manual,Wizards of the Coast,13,27,25,ANY,10,10,12,13,16,13,None,"Medicine, Persuasion, Religion",None,Normal,Any,"Divine Eminence, Spellcasting",,,,,,,,,,,,,,,,,
Ogre,Large,Giant,2.00,,Monster Manual,Wizards of the Coast,11,59,40,CE,19,8,16,5,7,7,None,None,None,Darkvision 60,"Common, Giant",None,,,,,,,,,,,,,,,,,
Ogre Bolt Launcher,Large,Giant,2.00,,Mordenkainen's Tome of Foes,Wizards of the Coast,13,59,40,CE,19,12,16,5,7,7,None,None,None,Darkvision 60,"Common, Giant",None,,,,,,,,,,,,,,,,,
Ogre Howdah,Large,Giant,2.00,,Mordenkainen's Tome of Foes,Wizards of the Coast,13,59,40,CE,19,8,16,5,7,7,None,None,None,Darkvision 60,"Common, Giant",Howdah,,,,,,,,,,,,,,,,,
"Ooze, Gelatinous Cube",Large,Ooze,2.00,,Monster Manual,Wizards of the Coast,6,84,15,U,14,3,20,1,6,1,None,None,"Blindedimmu, charmedimmu, deafenedimmu, exhaustionimmu, frightenedimmu, proneimmu",Blindsight 60,None,"Ooze Cube, Transparent",,,,,,,,,,,,,,,,,
"Ooze, Ochre Jelly",Large,Ooze,2.00,,Monster Manual,Wizards of the Coast,8,45,"10, climb 10",U,15,6,14,2,6,1,None,None,"Acidres, lightningimmu, slashingimmu, blindedimmu, charmedimmu, deafenedimmu, exhaustionimmu, frightenedimmu, proneimmu",Blindsight 60,None,"Amorphous, Spider Climb",,,,,,,,,,,,,,,,,
Orc Claw of Luthic,Medium,Humanoid (Orc),2.00,,Volo's Guide to Monsters,Wizards of the Coast,14,45,30,CE,14,15,16,10,15,11,None,"Intimidation, Medicine, Survival",None,Darkvision 60,"COmmon, Orc","Aggressive, Normal Spellcasting",,,,,,,,,,,,,,,,,
Orc Hand of Yurtrus,Medium,Humanoid (Orc),2.00,,Volo's Guide to Monsters,Wizards of the Coast,12,30,30,CE,12,11,16,11,14,9,None,"Arcana, Intimidation, Medicine, Religion",None,Darkvision 60,"Common, Orc","Aggressive, Normal Spellcasting",,,,,,,,,,,,,,,,,
"Orc, Orog",Medium,Humanoid,2.00,,Monster Manual,Wizards of the Coast,18,42,30,CE,18,12,18,12,11,12,None,"Intimidation, Survival",None,Darkvision 60,"Common, Orc",Aggressive,,,,,,,,,,,,,,,,,
Pegasus,Large,Celestial,2.00,,Monster Manual,Wizards of the Coast,12,59,"60, fly 90",CG,18,15,16,10,15,13,"DEX, WIS, CHA",Perception,None,Normal,"Celestial, Common, Elvish, Sylvan",None,,,,,,,,,,,,,,,,,
Peryton,Medium,Monstrosity,2.00,,Monster Manual,Wizards of the Coast,13,33,"20, fly 60",CE,16,12,13,9,12,10,None,Perception,Nonmagicalres,Normal,"Common, Elvish","Dive Attack, Flyby, Keen Sight, Keen Smell",,,,,,,,,,,,,,,,,
"Purple Worm, Wormling",Large,Monstrosity,2.00,,Storm King's Thunder,Wizards of the Coast,12,42,20,U,16,7,16,1,6,2,None,None,None,"Blindsight 30, tremorsense 30",None,None,,,,,,,,,,,,,,,,,
Quaggoth,Medium,Humanoid,2.00,,Monster Manual,Wizards of the Coast,13,45,"30, climb 30",CN,17,12,16,6,12,7,None,Athletics,"Poisonimmu, poisonedimmu",Darkvision 120,Undercommon,Wounded Fury,,,,,,,,,,,,,,,,,
Sahuagin Priestess,Medium,Humanoid,2.00,,Monster Manual,Wizards of the Coast,12,33,"30, swim 40",LE,13,11,12,12,14,13,None,"Perception, Religion",None,Darkvision 120,Own,"Blood Frenzy, Limited Amphibious, Shark Telepathy, Normal Spellcasting",,,,,,,,,,,,,,,,,
Shadow Mastiff,Medium,Monstrosity,2.00,,Volo's Guide to Monsters,Wizards of the Coast,12,33,40,NE,16,14,13,5,12,5,None,"Perception, Stealth","Nonmagicalres, darknessres",Darkvision 60,None,"Ethereal Awareness, Keen Hearing, Keen Smell, Shadow Blend, Sunlight Weakness",,,,,,,,,,,,,,,,,
